Length, Width, Class(0=spnott, 1=awrat)
22.93,7.24,1
36.35,9.97,0
27.81,10.40,1
35.84,11.25,0
16.53,5.56,1
29.76,8.10,0
17.78,6.31,1
29.08,8.37,1
19.39,7.85,1
35.48,10.41,0
20.01,7.98,1
40.26,12.57,0
22.92,8.05,1
30.04,7.77,0
19.95,7.61,1
38.33,9.29,0
18.10,4.72,1
40.97,12.37,0
30.13,10.77,1
27.88,7.68,1
22.26,8.45,1
37.56,9.09,0
16.97,7.14,1
40.94,8.64,0
17.94,6.90,1
30.75,9.30,0
16.04,5.39,1
31.16,7.38,0
19.61,6.37,1
38.29,10.24,0
17.57,5.44,1
27.33,7.90,0
17.76,5.55,1
22.36,9.89,1
26.02,6.88,0
29.45,11.01,1
33.78,9.81,0
30.09,8.92,1
42.36,12.36,0
23.29,7.93,1
35.69,7.86,0
30.22,11.00,1
29.71,9.13,0
30.29,7.35,1
30.94,6.84,0
32.62,10.48,1
43.27,13.31,0
29.54,10.69,1
40.28,16.18,0
21.94,7.54,1
31.60,13.12,1
31.70,12.93,1
39.22,11.78,0
19.16,5.10,1
30.14,8.80,0
20.13,7.56,1
29.88,7.29,0
24.99,7.65,1
28.13,7.73,0
25.56,8.93,1
42.92,12.28,0
18.53,7.01,1
28.20,6.84,0
28.04,11.50,1
25.06,8.88,1
36.72,14.10,0
24.54,8.31,1
37.26,12.64,0
30.13,8.95,1
37.67,10.13,0
30.00,10.33,1
28.04,7.64,0
21.30,8.36,1
32.70,12.25,0
22.12,6.34,1
30.63,9.05,1
35.21,10.09,0
20.74,7.01,1
38.23,9.34,0
24.16,7.40,1
32.39,11.05,1
37.03,8.23,0
26.53,7.79,1
33.59,10.74,0
17.59,6.37,1
40.67,13.57,0
28.84,8.48,1
33.51,11.21,1
40.32,9.53,0
32.73,11.87,1
33.04,13.20,1
29.71,7.08,0
29.59,11.45,1
31.42,12.97,1
22.11,6.94,1
35.86,11.17,0
29.14,8.90,1
32.57,11.86,1
38.66,14.21,0
28.61,13.06,1
38.03,11.72,0
32.26,13.56,1
30.95,9.77,0
19.56,7.08,1
27.22,7.67,0
18.98,6.93,1
37.39,8.12,0
15.29,4.36,1
40.51,7.96,0
21.38,6.99,1
23.20,7.90,1
38.86,12.26,0
27.73,8.12,1
35.88,10.66,0
30.85,10.83,1
31.18,9.72,0
29.65,10.92,1
18.68,6.76,1
30.06,6.55,0
21.91,7.75,1
36.56,14.10,0
32.25,9.06,1
28.82,7.08,0
29.90,9.34,1
33.04,6.89,0
21.20,7.03,1
32.98,7.76,0
23.70,7.52,1
35.87,12.28,0
17.54,4.32,1
28.89,5.95,0
32.21,11.19,1
18.43,6.87,1
21.10,7.96,1
40.72,13.08,0
18.23,6.59,1
27.70,8.47,1
33.67,10.46,0
25.94,8.20,1
29.60,8.47,0
29.82,8.37,1
34.14,11.61,0
26.59,6.21,1
40.62,8.53,0
29.50,11.31,1
31.36,10.12,0
25.85,9.22,1
36.78,10.97,0
29.71,10.56,1
34.50,9.60,0
22.47,7.75,1
37.67,11.71,0
31.17,12.40,1
29.56,11.51,1
32.78,7.78,0
31.23,9.81,1
28.25,9.10,0
28.93,9.87,1
34.62,8.52,0
25.10,8.32,1
23.19,8.29,1
37.77,10.81,0
29.29,9.07,1
29.28,7.94,0
28.91,10.32,1
31.36,10.04,0
22.19,8.89,1
29.32,7.26,0
20.53,7.53,1
32.01,10.69,0
21.96,9.21,1
34.97,10.32,0
31.44,10.05,1
17.38,6.60,1
27.93,8.23,0
19.61,8.01,1
37.86,8.48,0
23.03,7.81,1
38.13,9.91,0
16.97,5.58,1
21.98,6.75,1
37.48,9.72,0
30.13,10.14,1
28.58,7.48,0
30.35,10.29,1
30.45,11.34,0
20.04,6.23,1
38.95,12.06,0
26.72,8.01,1
27.80,9.92,1
36.74,10.17,0
28.18,9.16,1
38.39,13.21,0
20.53,7.70,1
30.81,9.94,0
16.74,7.15,1
40.76,13.69,0
32.06,14.65,1
27.67,5.44,0
28.84,7.69,1
39.60,11.35,0
25.03,9.84,1
31.38,10.19,0
19.26,6.54,1
27.87,6.12,0
32.93,11.55,1
36.82,9.73,0
28.60,12.42,1
32.90,13.27,1
21.07,9.17,1
39.35,11.14,0
32.47,12.81,1
29.26,7.50,0
19.73,5.80,1
39.04,10.15,0
16.45,5.64,1
37.54,10.59,0
29.45,8.05,1
34.35,7.95,0
30.42,11.23,1
31.02,6.60,0
28.25,10.21,1
39.26,9.01,0
28.95,9.07,1
37.81,11.19,0
30.09,11.58,1
29.27,9.66,1
30.52,9.89,0
28.02,7.42,1
39.56,9.41,0
17.59,5.94,1
30.27,11.79,1
27.07,9.76,1
38.55,11.93,0
27.42,9.21,1
31.25,8.37,0
17.80,5.77,1
37.98,9.56,0
31.44,10.21,1
30.25,9.71,0
20.09,7.61,1
31.42,5.86,0
32.78,10.65,1
24.86,8.60,1
39.49,10.37,0
21.61,7.67,1
40.73,13.91,0
29.20,12.63,1
31.17,8.29,0
15.21,4.97,1
37.91,10.90,0
28.12,11.19,1
30.14,7.35,0
31.41,13.47,1
33.20,9.91,0
20.54,6.97,1
35.47,11.22,0
32.33,12.51,1
37.36,9.51,0
29.53,9.57,1
38.66,10.55,0
15.04,4.77,1
30.87,10.44,0
16.25,7.02,1
30.40,9.62,0
18.54,8.07,1
17.38,7.00,1
33.28,11.67,0
18.62,7.33,1
30.19,9.26,0
31.90,11.52,1
24.58,9.29,1
29.46,8.62,0
30.72,10.93,1
30.19,8.35,0
30.85,11.98,1
29.66,9.49,1
32.25,8.70,0
19.66,7.19,1
29.39,8.70,0
16.95,5.47,1
39.87,10.69,0
19.48,6.55,1
30.37,8.29,0
18.48,6.34,1
36.34,8.43,0
22.55,8.72,1
44.31,8.72,0
30.35,11.18,1
27.26,9.82,1
38.59,12.12,0
19.17,6.43,1
28.27,7.63,0
29.18,11.12,1
24.69,7.46,1
29.57,9.44,0
21.93,7.16,1
37.55,11.63,0
29.15,10.57,1
36.75,10.68,0
23.85,4.87,1
30.20,8.89,0
17.33,7.86,1
29.78,6.48,0
34.60,12.17,1
22.01,8.65,1
44.11,14.19,0
21.53,8.76,1
30.78,10.13,1
39.40,13.80,0
25.19,11.86,1
39.87,10.72,0
28.36,12.52,1
39.51,10.88,0
29.12,9.59,1
17.23,5.35,1
33.85,8.57,0
31.01,8.87,1
29.63,6.43,0
15.16,6.26,1
30.76,7.85,0
26.92,9.30,1
31.60,9.22,0
23.05,8.63,1
30.12,9.06,1
33.84,7.11,0
27.35,8.81,1
37.32,13.25,0
27.38,7.71,1
38.05,11.82,0
28.07,13.26,1
30.14,9.84,0
26.70,9.76,1
30.72,9.35,0
21.83,9.00,1
37.63,9.53,0
20.35,7.39,1
27.27,8.41,0
29.83,10.72,1
29.24,8.37,0
29.47,10.20,1
28.39,10.09,1
37.96,11.82,0
24.03,8.68,1
24.90,7.37,1
39.51,13.05,0
19.86,6.72,1
41.66,15.30,0
25.36,8.87,1
28.30,8.57,1
29.55,8.22,0
15.06,5.47,1
37.68,7.46,0
21.00,8.19,1
29.70,8.88,1
